D e l e g a c i o n e s ,Total de Ingresos 2005,Total de Ingresos 2006,Total de Ingresos 2007,Total de Ingresos 2008,Total de Ingresos 2009,Total de Ingresos 2010,Total de Ingresos 2011,Total de Ingresos 2012,Total de Ingresos 2013,Total de Ingresos 2014,Total de Ingresos 2015,,Ingresos Programados 2005,Ingresos Programados 2006,Ingresos Programados 2007,Ingresos Programados 2008,Ingresos Programados 2009,Ingresos Programados 2010,Ingresos Programados 2011,Ingresos Programados 2012,Ingresos Programados 2013,Ingresos Programados 2014,Ingresos Programados 2015,,Ingresos Urgentes 2005,Ingresos Urgentes 2006,Ingresos Urgentes 2007,Ingresos Urgentes 2008,Ingresos Urgentes 2009,Ingresos Urgentes 2010,Ingresos Urgentes 2011,Ingresos Urgentes 2012,Ingresos Urgentes 2013,Ingresos Urgentes 2014,Ingresos Urgentes 2015,,Egresos 2005,Egresos 2006,Egresos 2007,Egresos 2008,Egresos 2009,Egresos 2010,Egresos 2011,Egresos 2012,Egresos 2013,Egresos 2014,Egresos 2015,Intervenciones Quirúrgicas 2005,Intervenciones Quirúrgicas 2006, Intervenciones Quirúrgicas 2007, Intervenciones Quirúrgicas 2008, Intervenciones Quirúrgicas 2009, Intervenciones Quirúrgicas 2010,Intervenciones Quirúrgicas  2011, Intervenciones Quirúrgicas 2012, Intervenciones Quirúrgicas 2013,Intervenciones Quirúrgicas 2014,Intervenciones Quirúrgicas 2015,Días Estancia 2005,Días Estancia 2006,Días Estancia 2007,Días Estancia 2008,Días Estancia 2009,Días Estancia 2010,Días Estancia 2011,Días Estancia 2012,Días Estancia 2013,Días Estancia 2014,Días Estancia 2015,Defunciones 2005,Defunciones 2006,Defunciones 2007,Defunciones 2008,Defunciones 2009,Defunciones 2010,Defunciones 2011,Defunciones 2012,Defunciones 2013,Defunciones 2014,Defunciones 2015
T  o  t  a  l,1927737 ,1900702 ,1954634 ,1957616 ,1933769 ,1962679 ,2010296 ,2043972 ,2031274 ,2039691 ,2015724 ,,517963 ,499438 ,506208 ,509941 ,484270 ,494913 ,491006 ,486615 ,469989 ,477469 ,473539 ,,1409774 ,1401264 ,1448426 ,1447675 ,1449499 ,1467766 ,1519290 ,1544659 ,1557357 ,1562222 ,1542185 ,,1903849 ,1880292 ,1934340 ,1940139 ,1915268 ,1944654 ,1991611 ,2011625 ,2026478 ,2017324 ,1993991 ,1423199 ,1403058 ,1431597 ,1437323 ,1441872 ,1457866 ,1487354 ,1514905 ,1522240 ,1499770 ,1469820 ,9007140 ,9021901 ,9263630 ,9236168 ,9286262 ,9476828 ,9670817 ,9865562 ,9935084 ,10082604 ,10230747 ,62534 ,61635 ,64604 ,67435 ,70578 ,73612 ,75773 ,78844 ,81972 ,81634 ,83196 
     Aguascalientes,23252 ,22883 ,22468 ,23329 ,21626 ,22557 ,21183 ,22081 ,20957 ,22728 ,23730 ,,3416 ,2635 ,3126 ,3320 ,3177 ,3942 ,4922 ,6145 ,6208 ,5896 ,7036 ,,19836 ,20248 ,19342 ,20009 ,18449 ,18615 ,16261 ,14812 ,15936 ,16832 ,16694 ,,23036 ,22772 ,22348 ,23290 ,21477 ,22427 ,21110 ,20870 ,21887 ,22476 ,23538 ,17443 ,18280 ,19587 ,20003 ,20185 ,20389 ,20975 ,21890 ,22302 ,22244 ,21261 ,99692 ,96322 ,95956 ,98622 ,93382 ,98740 ,94287 ,100984 ,106118 ,106964 ,110773 ,939 ,931 ,891 ,985 ,1003 ,987 ,1084 ,1072 ,1182 ,1068 ,1172 
     Baja California,64792 ,63106 ,68957 ,70985 ,73113 ,76161 ,80414 ,77128 ,79266 ,79756 ,77434 ,,19850 ,20925 ,22865 ,24940 ,24511 ,25835 ,24169 ,28071 ,26506 ,30560 ,26718 ,,44942 ,42181 ,46092 ,46045 ,48602 ,50326 ,56245 ,51195 ,49057 ,49196 ,50716 ,,61459 ,61660 ,67633 ,69664 ,71468 ,74523 ,78440 ,76932 ,74997 ,78439 ,76216 ,51955 ,52604 ,54711 ,54466 ,55594 ,55255 ,58600 ,57800 ,58795 ,58770 ,56614 ,269035 ,275507 ,317316 ,321100 ,343111 ,357354 ,353913 ,340693 ,349581 ,347284 ,347042 ,2015 ,1885 ,2183 ,2399 ,2563 ,2653 ,2886 ,2883 ,3030 ,3182 ,3240 
     Baja California Sur,14954 ,16080 ,17438 ,17695 ,17763 ,17980 ,18512 ,20403 ,19778 ,20053 ,22275 ,,2968 ,3225 ,3473 ,3113 ,4397 ,4042 ,4111 ,4062 ,3602 ,3590 ,4118 ,,11986 ,12855 ,13965 ,14582 ,13366 ,13938 ,14401 ,15716 ,16341 ,16463 ,18157 ,,14911 ,16007 ,17383 ,17644 ,17732 ,17944 ,18515 ,19771 ,20406 ,20060 ,22312 ,10057 ,10656 ,11748 ,12374 ,12595 ,12787 ,13393 ,15836 ,17422 ,16108 ,15673 ,51577 ,56430 ,64127 ,60275 ,60637 ,59889 ,59623 ,64794 ,70374 ,70788 ,73052 ,382 ,377 ,429 ,424 ,479 ,475 ,491 ,577 ,561 ,559 ,574 
     Campeche,13254 ,13490 ,14913 ,14870 ,14207 ,13768 ,13332 ,13328 ,13503 ,13229 ,12462 ,,1889 ,1741 ,2146 ,1897 ,1826 ,2183 ,2058 ,1588 ,1338 ,1543 ,1823 ,,11365 ,11749 ,12767 ,12973 ,12381 ,11585 ,11274 ,11915 ,11740 ,11686 ,10639 ,,13039 ,13191 ,14815 ,14747 ,14062 ,13678 ,13203 ,13436 ,13174 ,13165 ,12384 ,8256 ,9077 ,9568 ,9988 ,9753 ,10127 ,9742 ,8827 ,8707 ,9511 ,9023 ,58923 ,58578 ,56248 ,54478 ,59055 ,55455 ,56238 ,52916 ,62811 ,56012 ,53558 ,349 ,355 ,429 ,405 ,403 ,444 ,387 ,411 ,430 ,401 ,476 
     Coahuila ,105213 ,101444 ,97738 ,96964 ,93259 ,91126 ,92885 ,100284 ,94712 ,99694 ,96356 ,,26698 ,29858 ,25248 ,26499 ,23298 ,17757 ,14947 ,14390 ,13834 ,14317 ,15425 ,,78515 ,71586 ,72490 ,70465 ,69961 ,73369 ,77938 ,80322 ,85894 ,85377 ,80931 ,,102968 ,99721 ,96086 ,96093 ,92501 ,90053 ,91787 ,93402 ,99159 ,98414 ,94678 ,64282 ,64554 ,63025 ,63368 ,61466 ,61976 ,62913 ,65970 ,65746 ,62705 ,64356 ,440744 ,434286 ,442907 ,427733 ,417746 ,409038 ,422493 ,434591 ,444883 ,451040 ,466487 ,3494 ,3379 ,3329 ,3571 ,3708 ,3711 ,4021 ,3996 ,4276 ,4384 ,4189 
     Colima,17562 ,16065 ,17709 ,18097 ,18254 ,17727 ,17760 ,16673 ,15882 ,15556 ,15815 ,,3464 ,3407 ,3667 ,3803 ,3646 ,3646 ,3522 ,2786 ,2937 ,3102 ,3237 ,,14098 ,12658 ,14042 ,14294 ,14608 ,14081 ,14238 ,13096 ,13887 ,12454 ,12578 ,,17416 ,15930 ,17600 ,18001 ,18135 ,17666 ,17709 ,15899 ,16575 ,15449 ,15589 ,10821 ,11150 ,12075 ,12387 ,12197 ,12870 ,12899 ,13014 ,12630 ,12702 ,11997 ,48439 ,47478 ,52392 ,56492 ,56685 ,57457 ,58201 ,53704 ,59365 ,57188 ,60623 ,390 ,345 ,351 ,392 ,384 ,408 ,433 ,546 ,527 ,548 ,596 
     Chiapas,18150 ,17935 ,19337 ,20058 ,21498 ,21576 ,21084 ,20862 ,21056 ,20721 ,20956 ,,3239 ,3770 ,4146 ,4249 ,4180 ,4299 ,3921 ,4080 ,4563 ,3989 ,4405 ,,14911 ,14165 ,15191 ,15809 ,17318 ,17277 ,17163 ,16976 ,16782 ,16732 ,16551 ,,18182 ,17981 ,19586 ,20220 ,21418 ,21632 ,20985 ,20959 ,20693 ,20337 ,20649 ,12931 ,14543 ,15584 ,16339 ,16751 ,17208 ,18097 ,17577 ,17535 ,16383 ,16070 ,82039 ,85776 ,86468 ,85495 ,91897 ,97402 ,97736 ,93871 ,91302 ,96854 ,103408 ,541 ,557 ,563 ,597 ,657 ,611 ,626 ,629 ,653 ,703 ,794 
     Chihuahua,73821 ,78110 ,83364 ,81258 ,78341 ,84065 ,87241 ,87649 ,88480 ,88669 ,86920 ,,15056 ,15786 ,17607 ,16892 ,14844 ,17067 ,17239 ,16532 ,15570 ,15148 ,14289 ,,58765 ,62324 ,65757 ,64366 ,63497 ,66998 ,70002 ,71948 ,71117 ,73521 ,72631 ,,73820 ,77641 ,82746 ,81207 ,77963 ,83449 ,87295 ,87669 ,87367 ,88728 ,86390 ,58898 ,59030 ,63420 ,61850 ,59574 ,62376 ,60430 ,62369 ,60753 ,58201 ,56477 ,356160 ,376391 ,408594 ,394145 ,383704 ,409410 ,392230 ,401931 ,418261 ,416536 ,409977 ,3038 ,3031 ,3470 ,3703 ,3834 ,4224 ,4073 ,4096 ,4156 ,4126 ,4155 
     D.F. Norte,125095 ,121277 ,124059 ,125432 ,126778 ,126979 ,128523 ,131684 ,132334 ,136541 ,137903 ,,46328 ,43385 ,43253 ,49857 ,45147 ,52383 ,49095 ,48188 ,51776 ,50668 ,53134 ,,78767 ,77892 ,80806 ,75575 ,81631 ,74596 ,79428 ,84706 ,83496 ,85873 ,84769 ,,124373 ,120488 ,123403 ,124788 ,125992 ,125557 ,127491 ,131624 ,130776 ,135504 ,137181 ,91963 ,84443 ,85047 ,86766 ,84344 ,87075 ,89236 ,94506 ,97261 ,100895 ,101189 ,843088 ,838105 ,853542 ,861379 ,875307 ,887849 ,891612 ,920782 ,872640 ,889656 ,910982 ,5075 ,4653 ,4865 ,4966 ,5239 ,4862 ,5322 ,5596 ,5616 ,5541 ,6403 
     D.F. Sur,144247 ,138781 ,143187 ,143298 ,144497 ,151003 ,151098 ,138509 ,145337 ,137720 ,133663 ,,47939 ,39088 ,38964 ,40923 ,40669 ,44651 ,45403 ,43499 ,41804 ,43164 ,42151 ,,96308 ,99693 ,104223 ,102375 ,103828 ,106352 ,105695 ,101838 ,95010 ,94556 ,91512 ,,142344 ,137029 ,141409 ,141063 ,142834 ,149396 ,149100 ,143032 ,135990 ,134114 ,131098 ,115769 ,113704 ,117477 ,113596 ,117333 ,116466 ,121359 ,109249 ,105427 ,99661 ,93319 ,865637 ,839550 ,823210 ,805334 ,816875 ,844496 ,862858 ,853339 ,816616 ,838579 ,869726 ,4842 ,5020 ,5089 ,5182 ,5477 ,5606 ,5603 ,5674 ,5567 ,5994 ,5288 
     Durango,35158 ,34398 ,35002 ,35356 ,35224 ,37151 ,38135 ,34961 ,36715 ,34482 ,32047 ,,7785 ,6216 ,5766 ,6568 ,6018 ,6496 ,6211 ,5771 ,5344 ,5601 ,5635 ,,27373 ,28182 ,29236 ,28788 ,29206 ,30655 ,31924 ,30944 ,29190 ,28881 ,26412 ,,34871 ,34160 ,34794 ,35099 ,35006 ,37172 ,37975 ,36373 ,34868 ,34291 ,31573 ,25495 ,25265 ,25278 ,25176 ,26227 ,28899 ,29172 ,33549 ,32118 ,31386 ,30534 ,160157 ,149809 ,156125 ,157999 ,164004 ,165837 ,163929 ,163070 ,152335 ,152699 ,158361 ,1210 ,1151 ,1169 ,1290 ,1351 ,1476 ,1527 ,1342 ,1449 ,1389 ,1347 
     Guanajuato,95271 ,91930 ,91340 ,88439 ,87442 ,92452 ,93386 ,94557 ,92228 ,92571 ,90155 ,,22446 ,21104 ,21211 ,19197 ,19546 ,19006 ,18348 ,18502 ,17800 ,17849 ,17604 ,,72825 ,70826 ,70129 ,69242 ,67896 ,73446 ,75038 ,73726 ,76055 ,74722 ,72551 ,,94365 ,91288 ,90808 ,88205 ,87606 ,92599 ,93150 ,91998 ,94224 ,92687 ,90111 ,70927 ,70223 ,67544 ,66517 ,67483 ,66961 ,69137 ,70914 ,70759 ,68080 ,64745 ,387581 ,368223 ,370248 ,359713 ,356154 ,371300 ,378611 ,386451 ,399548 ,393876 ,409748 ,2164 ,2007 ,2059 ,2241 ,2248 ,2596 ,2602 ,2735 ,2887 ,2899 ,2899 
     Guerrero,26476 ,26848 ,27139 ,27870 ,27587 ,26065 ,27131 ,26435 ,28006 ,26463 ,26308 ,,8824 ,8570 ,7630 ,9056 ,8578 ,8430 ,8094 ,6844 ,4993 ,6159 ,6086 ,,17652 ,18278 ,19509 ,18814 ,19009 ,17635 ,19037 ,21162 ,19591 ,20304 ,20222 ,,25887 ,26113 ,26653 ,26656 ,27039 ,25806 ,26934 ,27896 ,26521 ,26564 ,26353 ,21872 ,23216 ,26361 ,23712 ,22413 ,23135 ,22679 ,23061 ,24414 ,21882 ,20821 ,112350 ,112824 ,112627 ,123794 ,119938 ,108016 ,109138 ,117823 ,123398 ,119820 ,127629 ,568 ,703 ,591 ,779 ,835 ,749 ,780 ,925 ,1049 ,901 ,1055 
     Hidalgo,25230 ,25181 ,25784 ,25070 ,24893 ,24680 ,25578 ,24181 ,24957 ,23681 ,23362 ,,4647 ,5731 ,5037 ,5283 ,4693 ,4911 ,4650 ,4359 ,4392 ,4349 ,4580 ,,20583 ,19450 ,20747 ,19787 ,20200 ,19769 ,20928 ,20598 ,19822 ,19332 ,18782 ,,25127 ,25155 ,25845 ,25132 ,24889 ,24635 ,25571 ,24877 ,24165 ,23629 ,23355 ,15095 ,15543 ,16086 ,16444 ,15975 ,16746 ,16573 ,17482 ,16813 ,16054 ,15534 ,97350 ,92169 ,92058 ,89382 ,89239 ,89836 ,94308 ,94021 ,97481 ,95884 ,95862 ,579 ,604 ,660 ,790 ,812 ,871 ,855 ,888 ,963 ,907 ,952 
     Jalisco,191878 ,184406 ,196133 ,196929 ,190390 ,197719 ,201689 ,205614 ,202063 ,205182 ,204183 ,,58231 ,57075 ,64436 ,63479 ,57443 ,56689 ,56127 ,58971 ,51334 ,51367 ,50257 ,,133647 ,127331 ,131697 ,133450 ,132947 ,141030 ,145562 ,143092 ,146643 ,153815 ,153926 ,,189257 ,182524 ,192756 ,194083 ,186518 ,193327 ,197482 ,198777 ,201856 ,200002 ,199065 ,119677 ,117990 ,123696 ,126864 ,127915 ,135456 ,138270 ,144259 ,145819 ,143920 ,141915 ,857585 ,837267 ,905381 ,955494 ,944236 ,966877 ,1015750 ,1035464 ,1028375 ,1010720 ,1021583 ,6266 ,6114 ,6198 ,6566 ,6892 ,7120 ,7702 ,7983 ,8111 ,8203 ,8640 
